ID,smiles,ref_drug,ref_target,similarity,Best_Gene,DrugCLIP_Score,Activity_Level,Toxicity_Level,Known_Target_Genes,Active_Targets
T9767,Cc1nc(-c2ccc(C(F)(F)F)cc2)sc1C(=O)NCCS(=O)(=O)c1ccc(C(F)(F)F)cn1,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.1368,PPARG,0.3604,活性,低毒性,PPARD,5467
T2337,COc1ccc(-c2ccccc2)cc1NS(=O)(=O)c1cc(Cl)cc(Cl)c1O,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.1364,PPARG,0.3794,活性,低毒性,ACACA,47;31
T62622,O=C(O)c1ccc(-c2nn(C(=O)c3c(Cl)cccc3C(F)(F)F)c3ccccc23)cc1,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.1319,RXRB,0.4255,高活性,低毒性,PPARG,6097;5468
T67936,CCc1ccc(-c2nc3cc(NC(=O)c4cc([N+](=O)[O-])ccc4Br)ccc3o2)cc1,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.1313,PPARG,0.5166,活性,低毒性,PPARA;PPARD;PPARG,5465;1558;5467;5468;19016
T16022,CC(=O)NCCOC(=O)[C@H](Oc1cccc(C(F)(F)F)c1)c1ccc(Cl)cc1,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.1304,GPAM,0.4006,活性,低毒性,PPARG,5468
T5360,CC(C)c1cc(Oc2c(Br)cc(NC(=O)CC(=O)O)cc2Br)ccc1O,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.125,ACACA,0.2029,活性,低毒性,THRB,7068;7067
T14570,CCC(=O)N[C@H]1CC[C@@H](C(=O)N(C)c2ccc(-c3nc4ccccc4o3)cc2)C1,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.125,PPARG,0.3376,活性,低毒性,FASN,2194;14104
T70348,[H][C@@]12C[C@H](c3ccccc3C(F)(F)F)C[C@]1([H])CN(c1nc(C)cc(C(=O)O)n1)C2,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.1183,GPAM,0.1987,活性,低毒性,PPARG,5950;5468
T7184,COc1ccccc1[C@H](Cn1c(=O)n(C(C)(C)C(=O)O)c(=O)c2c(C)c(-c3ncco3)sc21)OC1CCOCC1,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.1102,PPARG,0.4209,活性,毒性,ACACA,31;32
T27841,COc1ccc(Oc2cc(N(C)CCOc3ccc(CC4SC(=O)NC4=O)cc3)ncn2)cc1,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.11,THRB,0.302,高活性,低毒性,PPARA;PPARG,5468;5465
