rank,name,smiles,MW,LogP,TPSA,HBD,HBA,RotB,Lipinski_violations,max_tc,best_match,best_target,physchem_compliance,toxic_score,final_score
32,T29078,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])CC[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@@H](C)CCC(=O)O)[C@]1([H])[C@@H](O)C2,392.58,4.48,77.76,3,3,4,0,0.4118,Obeticholic acid (OCA),FXR,1.0,0.8,0.7753
33,T13506,[H][C@@]12C[C@@H](O)CC[C@]1(C)[C@@]1([H])CC[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)O)[C@]1([H])[C@@H](O)C2,392.58,4.48,77.76,3,3,4,0,0.4118,Obeticholic acid (OCA),FXR,1.0,0.8,0.7753
34,T207107,[H][C@@]12C[C@@H](O)CC[C@]1(C)[C@@]1([H])CC[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)O)[C@]1([H])[C@H](O)C2,392.58,4.48,77.76,3,3,4,0,0.4118,Obeticholic acid (OCA),FXR,1.0,0.8,0.7753
35,T13505,[H][C@]12CC[C@]3([H])[C@]([H])(C[C@@H](O)[C@@]4(C)[C@@]3([H])CC[C@]4([H])[C@H](C)CCC(=O)O)[C@@]1(C)CC[C@@H](O)C2,392.58,4.48,77.76,3,3,4,0,0.4085,Obeticholic acid (OCA),FXR,1.0,0.8,0.7734
36,T84944,[H][C@]12CC[C@]3([H])[C@]([H])(C[C@H](O)[C@@]4(C)[C@@]3([H])CC[C@]4([H])[C@H](C)CCC(=O)O)[C@@]1(C)CC[C@H](O)C2,392.58,4.48,77.76,3,3,4,0,0.4085,Obeticholic acid (OCA),FXR,1.0,0.8,0.7734
37,T2968,[H][C@@]12C[C@H](O)[C@]3([H])C[C@H](O)CC[C@]3(C)[C@@]1([H])CC[C@]1(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@]21[H],392.58,4.48,77.76,3,3,4,0,0.5079,Obeticholic acid (OCA),FXR,1.0,0.6,0.7702
38,T31964,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,433.63,4.62,86.63,3,3,6,0,0.5075,Obeticholic acid (OCA),FXR,1.0,0.6,0.77
39,T5352,[H][C@@]12CCC3C[C@H](O)CC[C@]3(C)[C@@]1([H])C[C@H](O)[C@]1(C)[C@@H]([C@H](C)CCC(=O)NCC(=O)O)CC[C@]12[H],449.63,3.59,106.86,4,4,6,0,0.3896,Obeticholic acid (OCA),FXR,1.0,0.8,0.7626
40,T0408,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3C(=O)C[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC(=O)[C@]12C,402.53,4.07,88.51,1,4,4,0,0.3889,Obeticholic acid (OCA),FXR,1.0,0.8,0.7622
41,T2963,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])C[C@H](O)[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)O)[C@]1([H])[C@H](O)C2,408.58,3.45,97.99,4,4,4,0,0.3889,Obeticholic acid (OCA),FXR,1.0,0.8,0.7622
42,T10087,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])CC[C@]3(C)[C@@H]([C@H](C)CC(=O)O)CC[C@@]3([H])[C@]1([H])[C@@H](O)C2,378.55,4.09,77.76,3,3,3,0,0.3824,Obeticholic acid (OCA),FXR,1.0,0.8,0.7585
