Rank,Type,ID,Molecule_Count
208,RefSeq,O43353,89
209,RefSeq,NP_269944,89
210,RefSeq,P50750,88
211,RefSeq,P08482,88
212,RefSeq,P52333,87
213,RefSeq,P23944,87
214,RefSeq,P06241,87
215,RefSeq,P08173,86
216,RefSeq,NP_002681,86
217,RefSeq,P34969,85
218,RefSeq,P21397,85
219,RefSeq,P19327,85
220,RefSeq,Q99728,85
221,RefSeq,P38398,85
222,RefSeq,P35916,84
223,RefSeq,P17948,84
224,RefSeq,O95342,84
225,RefSeq,Q8TDV0,84
226,RefSeq,NP_000466,84
227,RefSeq,2ISV_A,84
228,RefSeq,NP_001120700,84
229,RefSeq,O95398,84
230,RefSeq,P08912,83
231,RefSeq,AAH19268,83
232,RefSeq,P07333,81
233,RefSeq,P07203,81
234,RefSeq,P07948,81
235,RefSeq,NP_001024547,81
236,RefSeq,P29274,80
237,RefSeq,Q5BJF2,80
238,RefSeq,NP_004950,80
239,RefSeq,NP_214877,80
240,RefSeq,AAL68976,79
241,RefSeq,NP_542951,79
242,RefSeq,NP_000947,79
243,RefSeq,O14976,78
244,RefSeq,Q00535,78
245,RefSeq,P10275,78
246,RefSeq,BAA01847,78
247,RefSeq,NP_006493,78
248,RefSeq,Q13547,77
249,RefSeq,NP_004102,77
250,RefSeq,NP_001516,77
251,RefSeq,ACG60652,77
252,RefSeq,NP_371243,77
253,RefSeq,NP_068587,77
254,RefSeq,P41143,76
255,RefSeq,Q13627,76
256,RefSeq,XP_001348533,76
257,RefSeq,NP_044650,75
258,RefSeq,NP_002037,75
259,RefSeq,DAA06693,75
260,RefSeq,P50613,74
261,RefSeq,P14842,74
262,RefSeq,P53779,74
263,RefSeq,P19784,74
264,RefSeq,P08183,74
265,RefSeq,P07947,74
266,RefSeq,AAH65243,74
267,RefSeq,P03372,73
268,RefSeq,P22748,72
269,RefSeq,P30542,72
270,RefSeq,P07550,72
271,RefSeq,NP_002736,72
272,RefSeq,NP_004823,72
273,RefSeq,P14635,71
274,RefSeq,P51449,71
275,RefSeq,Q16832,71
276,RefSeq,O75030,71
277,RefSeq,NP_002102,71
278,RefSeq,O75388,71
