ID,Activity_Level,Toxicity_Level,Rank_Score,Active_Count,Total_Assay_Count,Active_Targets,Active_Accessions,Toxicity_Targets
T2642,活性,高毒性,6,281,3567,2264;6850;18815;4194;4286;6311;3417;956584;134391;3791;2260;956586;4193;2324;18793;3456;2321;7468;2263;2261;22066;7525;22068;60482;171071;18792,AAF61483;P01574;Q99700;P21802;NP_002384;ACA62796;NP_068587;NP_038866;B45705;AAH65243;P17948;NP_002383;NP_032903;AAC05178;NP_598230;CAG38738;2FGI_A;O96028;NP_005424;P22607;P13699;P22455;Q8TDV0;NP_032899;NP_035243;P35968;P35916;P16092;P11362;P43405,956586;6850;956584;6311;3417;P43405
T0377,活性,高毒性,6,281,1747,187;4194;4286;1487;105501;248;3676;10663;43740568;1565;10951;3458;3326;4215;226016;9581;855751;2099;6002;3757;170848;4193;3784;9429;2139;24831;2770;51400;598;4137;8912;3320;4170;24239;5243;23569;7532;10434;2693;856395;3269;1551;20778;317;8795;1813;2908;1080;114548;171071,NP_058021;ANW61984;NP_976226;NP_003833;P03372;P22002;YP_815860;NP_002384;AAI14949;NP_006321;DAA10558;NP_001020332;NP_002060;2QQS_A;P08183;P0DTC2;P04150;NP_000756;Q05DJ8;NP_001191727;NP_005152;Q9UNQ0;NP_001120700;AAH65243;AAI36532;NP_002383;AAI32679;NP_000097;NP_066921;Q13363;NP_598230;P25779;ABJ54071;Q92847;CAA80661;NP_612815;AAI51237;AAI07736;NP_057685;NP_000209;NP_000610;AAH32261;NP_006555;NP_598837;P35367;NP_000876;AAD14062;NP_036611;CAB40158;AAC39835;NP_000483;P14416;NP_036519;NP_579856;NP_057231;NP_269944;NP_005235;Q12809;AAI07878;NP_001257783;NP_000918;NP_005339;AAI43360;CAQ07474;DAA06693,3458
T206056,活性,高毒性,6,278,2366,4837;1815;6850;6311;100379267;7010;1576;65975;2475;5409;918764;43740568;1565;4088;3176;154;5142;27232;4985;6326;3757;8824;24831;3350;1489834;25601;2101;1814;2593;6323;6331;520277;24613;5243;617095;6328;7157;1551;367;7468;6532;100729734;4087;1588;4988;100297344,P0C6X1;AAR07906;ANW61984;NP_004949;AAH14840;P35372;AAI32976;P41143;Q99700;P0C6X7;P08908;P35462;EAW77416;P41595;P25021;ACA62796;NP_000756;NP_001020332;NP_000015;P08183;P21964;P43140;B45705;P15823;P47747;Q99720;AAY56401;P62157;P21917;Q14749;Q14524;Q02763;NP_000097;Q14353;P33533;P0DTD1;P10635;AAH50743;AMB37292;NP_059488;O96028;NP_001032418;NP_000537;ABQ01243;P97266;ADZ17378;O00748;P11086;Q99250;P33535;CAC29064;P35498;P50135;P14416;Q12809;P31645;P41145;AAI07878;P07550;Q9NY46;NP_001257783;NP_001138755;P40261;P43405;NP_001191727,2101;6323;6850;6326;6328;7157;P43405
T4S1725,活性,高毒性,6,276,1568,43;113580815;540446;590;100033901;4988;83817;11423,1QTI_A;O42275;Q9N1N9;P23795;P35372;P81908;Q9JKC1;P04058;NP_056646;P06276;P21836;1DX6_A;P37136;P22303,P04058
T75303,活性,高毒性,6,275,1797,4837;5313;55775;140;3276;214763;25505;2744;22933;6261;5409;3336;3791;2555;8493;5167;6262;5029;3176;5023;5024;27232;43740578;8856;5031;115004;4297;5032;2554;1847;23408;116160065;5315;64803;7421;3350;2561;3656265;2593;23492;7398;53829;5770;9807;7078;81739;2566;114115;113995;1544;23411;3329;27161;51426;5028;956;5169;5025;2271,P30613;P18507;Q9EPX4;NP_057302;O15648;P21964;Q96G91;NP_795713;Q9Y6E7;P22413;2WWY_A;P61604;P0DTD1;AAH18745;O75355;EAW99313;P11086;P14867;P50135;Q548M1;AAH42418;NP_001017535;A0A6L0XH39;Q8C6L5;O14638;A0A024AXB9;P08908;P10809;AAH38507;P41231;NP_002554;Q8IXJ6;NP_542958;1DE9_A;Q14353;Q72547;NP_446108;P47869;P0A6F5;Q9NUW8;XP_843920;P18031;P56373;P47870;CAQ07474;Q5VLE3;NP_001036188;NP_001264133;Q92551;Q96EB6;B45705;P0DMS8;O95931;Q14749;O75469;Q8N884;P14618;Q99571;Q9UKV8;AAH17444;NP_001026;Q7BGE6;NP_005924;AAA29795;P35625;P49654;P51578;NP_002550;1JY1_A;P49653;P29990;P51575;P47824;Q16690;P78527;Q9NXA8;NP_002557;P35968;Q99873;NP_001135839;P40261,
T0215L,活性,高毒性,6,274,2292,29412;3358;24173;28234;1559;1576;24182;1636;8647;55270;100009164;185;51206;81638;281607;5468;10599;6915;1268;1551;100192325;5139;29413;24180;2737;186,P34976;P25095;Q9WV26;Q9Y6L6;QLI62812;P21554;NP_000756;AGS09764;P43140;P15823;Q14432;ABI96208;O95342;P23944;P35351;P21731;BAH02283;P50052;P12821;NP_059488;P25104;P30556;Q9HCN6;P11712;P29089;Q9NPD5;Q9NV35;P28335;AAI13617,
T2858,活性,高毒性,6,274,2183,280960;1559;105501;25;5429;1565;3458;2563;190;2554;1459;2560;4137;246;3656265;947287;9212;3293;891;7157;116549;7468;2566;5646;5644;2237;2562;1457;2568;6850;3248;2558;55879;26013;2516;283106;6595;1195;10519;7068;6955;641;28989;945019;9610;2565;240;5305;7941;239;54658;2557;51426;947286;2555;81639;1557;2567;10013;81650;1460;266604;7498;5347;25255;1544;1109;11168;19885;2564;390245;839;1576;2559;75202014;43740578;5645;2870;811941;55270;2561;1543;1545;25290;6622;2556;983;2597;947294;7525,P07477;P18507;NP_057302;Q9BV86;P37058;P37840;AAB69001;AAF25870;NP_000760;AAI14949;Q8N1C3;NP_004950;Q05DJ8;P04798;P43250;Q16445;2WWY_A;P0DTD1;P08684;O14764;3EVG_A;P19139;NP_000610;Q96GD4;P14867;NP_036923;Q9UN88;2O23_B;O00591;P43405;P67870;NP_056293;ACA62796;P78334;P34903;P07947;P18505;1DE9_A;P18054;NP_000762;P19784;NP_004102;Q7ZJM1;Q9UBN7;P47869;P48426;NP_059488;XP_843920;O96028;Q99928;NP_598837;NP_000537;NP_001121649;NP_035411;P06493;P22309;Q02759;P14635;AAH04460;AAI07878;NP_000466;P07478;P47870;B2RXH2;NP_000851;P09917;P47989;XP_001348533;EAW58811;P68400;NP_000752;P31644;AAG24257;NP_006493;Q16678;P12527;NP_000048;NP_001809;2ISV_A;NP_000097;P49759;P28472;2LM5_A;Q8NEV1;P80457;P53350;2O23_A;AAC52118;2W2I_A;NP_417296;AAC83551;AAP35567;P67874;Q9BY41;NP_417299;P35030;NP_652928;NP_005148;P48169;NP_004283;2HDS_A;P45568;CAC24715;AAA89174;P16050;NP_001161829;NP_002037;NP_417297;Q9NV35;Q8K4F2,6850;811941;7157;P43405;NP_652928;3458
T1066,活性,高毒性,6,274,2060,3358;29412;24173;1815;6850;1559;10280;25075;15566;65032;6570;1557;3357;1565;6571;2854;148;24473;3757;15551;25187;3351;3363;3362;3350;4137;1816;29595;2101;1814;147;24318;3400;1812;146;3361;3269;1551;3356;1813;29581;3352;29413;397432;152;214084;100729734;25549;100730517,P28221;O75388;Q05940;ANW61984;P08908;NP_000789;NP_000669;P28564;P08909;NP_000785;P35462;NP_000760;P41595;AAI14949;NP_000756;P28222;P43140;AAA73923;NP_000855;P15823;P47747;Q99720;NP_000515;P18825;Q01827;NP_032341;P21917;NP_003045;NP_076917;NP_000671;P21728;NP_000762;P23944;P28223;NP_001243690;NP_034612;NP_062874;P19327;NP_058950;NP_058946;P35348;P50406;P34969;ABQ01243;ADZ17378;P35367;NP_000670;P14416;P50129;Q8BRU6;P61169;P30994;P31389;Q12809;AAH96839;CAQ07474;NP_000858;NP_001135797;NP_075227;P28335;NP_001159419;P43405;NP_000854;P14842;NP_001191727,2101;6850;P43405
T0687,活性,高毒性,6,272,3312,140;6850;956584;4194;113580815;1558;1559;3156;23435;1576;3779;1565;3357;9970;956586;2099;8856;4193;389816;4929;24831;155;5347;9971;2101;2100;6530;24693;5243;4780;100033901;10599;1812;6915;1551;367;7468;10242;3356;25675;1813;2908;5241;19885;2737;1588;6531;3417;956592,NP_044650;ANW61984;Q63921;AEP43755;AAI32976;Q9Y6L6;NP_006155;Q13148;NP_002384;EAW77416;AAH14804;NP_001124468;P41595;ACA62796;Q01959;NP_000756;P08183;AGS09764;P10632;P0DMS8;P06401;ADP91253;Q96RI1;Q14994;P59594;ABI96208;P21728;O95342;NP_002383;O75469;P28223;P21731;O42275;NP_005823;CAG38738;O96028;P43354;ADZ17378;P51639;P04035;P13699;P09992;NP_037266;AAH21195;P81908;NP_004128;AAV31779;BAH02301;NP_005021;AAI07878;NP_001257783;NP_000918;Q2I0M4;P13945;P23975;AAI13617;P43405,2101;956586;6850;956584;3417;P43405;956592
T5969,活性,高毒性,6,270,1566,29336;2904;10682;116444;10280;27346;1565;60422;1128;25229;26986;24411;100135518;24174;2903;598;24412;25601;2902;24410;29335;4170;24613;2906;303330;24175;24409;172532;81645;100135589;25083;855242;116443;24408;170796;2905;2737;191573;14812;155908,AAR07906;Q5BJF2;ANW61984;AAI13617;P22909;Q13224;Q12879;Q5U3Y7;P19328;Q99720;2QQI_A;O15399;Q00960;Q00961;Q01097;P33533;Q8TCU5;CAA80661;NP_612815;Q14957;AAI07736;NP_000729;P34975;Q9R0C9;NP_057854;Q9R1M7;NP_002559;Q60492;P33535;O60391;Q05586;P32352;Q62666;P10980;Q60490;Q15125;Q00959;P22086;Q8VHN2;AAI07878;NP_492143;P35439;P08482;Q62645,
