Rank,Original_ID,Type,Gene_Symbol,Protein_Name,UniProt_ID,Entrez_GeneID,Molecule_Count
70,NP_056979,RefSeq,GMNN,geminin DNA replication inhibitor,O75496,51053,197
71,NP_000760,RefSeq,CYP2C19,cytochrome P450 family 2 subfamily C member 19,P33261,1557,196
72,NP_000918,RefSeq,ABCB1,ATP binding cassette subfamily B member 1,P08183,5243,193
73,BAC78637,RefSeq,,,,,192
74,BAC78638,RefSeq,,,,,192
75,AAI14949,RefSeq,MAPT,microtubule associated protein tau,P10636,4137,192
76,2QQS_A,RefSeq,,,,,191
77,NP_001017535,RefSeq,VDR,vitamin D receptor,P11473,7421,190
78,Q01959,RefSeq,SLC6A3,solute carrier family 6 member 3,Q01959,6531,188
79,P35968,RefSeq,KDR,kinase insert domain receptor,P35968,3791,178
80,P0DTD1,RefSeq,,,,,177
81,P08172,RefSeq,CHRM2,cholinergic receptor muscarinic 2,P08172,1129,176
82,P18825,RefSeq,ADRA2C,adrenoceptor alpha 2C,P18825,152,176
83,P18089,RefSeq,ADRA2B,adrenoceptor alpha 2B,P18089,151,176
84,P28335,RefSeq,HTR2C,5-hydroxytryptamine receptor 2C,P28335,3358,175
85,P36888,RefSeq,FLT3,fms related receptor tyrosine kinase 3,P36888,2322,173
86,P11229,RefSeq,CHRM1,cholinergic receptor muscarinic 1,P11229,1128,171
87,AAH14840,RefSeq,SMAD2,SMAD family member 2,Q15796,4087,171
88,AAH50743,RefSeq,SMAD3,SMAD family member 3,P84022,4088,171
89,NP_000567,RefSeq,IL1B,interleukin 1 beta,P01584,3553,170
90,NP_000762,RefSeq,CYP2C9,cytochrome P450 family 2 subfamily C member 9,P11712,1559,168
91,AAH21195,RefSeq,DRD2,dopamine receptor D2,P14416,1813,167
92,P35372,RefSeq,OPRM1,opioid receptor mu 1,P35372,4988,166
93,AAP35567,RefSeq,ALDH1A1,aldehyde dehydrogenase 1 family member A1,P00352,216,166
94,P00519,RefSeq,ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase",P00519,25,162
95,P08684,RefSeq,CYP3A4,cytochrome P450 family 3 subfamily A member 4,P08684,1576,161
96,P0DMS8,RefSeq,ADORA3,adenosine A3 receptor,P0DMS8,140,161
97,AMB37292,RefSeq,,,,,161
98,P41145,RefSeq,OPRK1,opioid receptor kappa 1,P41145,4986,159
99,P31645,RefSeq,SLC6A4,solute carrier family 6 member 4,P31645,6532,159
100,P21728,RefSeq,DRD1,dopamine receptor D1,P21728,1812,157
1,1559,GeneID,CYP2C9,cytochrome P450 family 2 subfamily C member 9,P11712,1559,1560
2,6850,GeneID,SYK,spleen associated tyrosine kinase,P43405,6850,1461
3,7468,GeneID,NSD2,nuclear receptor binding SET domain protein 2,O96028,7468,1259
