rank,ID,SMILES,active_score,activity_level,toxicity_score,P_tox_high,toxicity_level,recommend_score
1680,T27643,CCc1cccc2sc(Sc3ccc4c(c3)CC[C@H]3N(C)C(=O)CC[C@]43C)nc12,0.2107518890727432,中,0.64489506,0.46025044,毒,0.07483903692406314
1681,TN1969,O=C(/C=C/c1ccc(O)cc1)NCCc1c[nH]c2ccc(O)cc12,0.168250790600664,中,0.55539987,0.3721957,低毒,0.07480432337365799
1682,T18943,CC[N+]1=C(C=CC=C2N(CCCCCC(=O)ON3C(=O)CCC3=O)c3ccc(S(=O)(=O)O)cc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)[O-])ccc21,0.17853015099962402,中,0.58100161,0.44696206,低毒,0.07480384583529937
1683,T206169,N#C[C@@H]1CSCN1C(=O)CNC(=O)c1ccnc2ccc(N3CCOCC3)cc12,0.2333324325948,中,0.6795585,0.4280959,毒,0.07476939469932661
1684,T39682,C=CC(=O)N1CC[C@H](n2nc(C#Cc3cc(OC)cc(OC)c3)c(C(N)=O)c2NC)C1,0.268144712088235,中,0.72117484,0.32960156,毒,0.07476549225115606
1685,T84304L,O=C(CCCN1CCC(C(=O)c2ccc(Cl)cc2)CC1)c1ccc(F)cc1.O=C(O)C(F)(F)F,0.15958719900248,中,0.53156662,0.47376204,低毒,0.07475597103346433
1686,T61575,O=C(NCCO)c1ccc2[nH]c3c(c2c1)CCN(C(=O)Cc1ccccc1)C3,0.1698275533670562,中,0.559844996,0.45987397,低毒,0.07475044743158683
1687,T62759,CS(C)(=O)=Nc1cccc2c(-c3nc(N[C@H]4CCCNC4)ncc3C(F)(F)F)c[nH]c12,0.35371828125016497,高,0.7887541,0.3497886,毒,0.07472153666914422
1688,TN1966,CCCCCCCC/C=C\CCCCCCCC(=O)NCc1cccc(OC)c1,0.13163732902416,中,0.432629855,0.35266176,低毒,0.07468709045585037
1689,T38724,O=C(Nc1cccc(C(=O)Nc2c(I)cc(C(F)(C(F)(F)F)C(F)(F)F)cc2C(F)(F)F)c1F)c1ccc(F)nc1,0.162107603323244,中,0.53942522,0.3541686,低毒,0.07466267373693036
1690,T10819,COc1ccc(S(N)(=O)=O)cc1C(=O)NC[C@@H]1CCCN1CC1CC1,0.20032865116239418,中,0.6277885999999999,0.45202306,毒,0.07456460770926639
1691,T67915,CNC(=O)Cc1ccc(-c2ccc3cccnc3n2)cc1,0.24692516756334,中,0.69808756,0.4412487,毒,0.07454977983645682
1692,T2056L,Cl.NCCCNc1ccc(Nc2nccc(Nc3cc(C4CC4)[nH]n3)n2)cc1,0.298098004419996,中,0.75009305,0.37704235,毒,0.07449676308568771
1693,T2233,CC(C)c1onc(-c2c(Cl)cccc2Cl)c1COc1ccc(/C=C/c2cccc(C(=O)O)c2)c(Cl)c1,0.18564714918176697,中,0.59886632,0.49414816,低毒,0.07446932413279118
