ID,SMILES,P_act,STRENGTH,P_tox_0,P_tox_1,P_tox_2
TN1848,CC(C)=CCC/C(C)=C/Cc1cc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)c(O)cc1O,0.66247314,0.14190616,0.3982229,0.112062365,0.48971468
TN2189,COc1cc2ccc(=O)oc2cc1OC(C)=O,0.6545545,0.05870843,0.27356955,0.011942169,0.71448827
T12054,Cc1nc2cccc(C(F)(F)F)c2c(=O)n1-c1ccc(OCCCN2CCCC2)cc1,0.90819573,0.2825213,0.35619178,0.23518413,0.40862408
T15694,C#CCC[C@H](N)C(=O)O,0.6043167,0.058759507,0.17365108,0.0053362898,0.8210126
T19536,CC(=O)C=O,0.76395506,0.011045532,0.023285627,0.0003023602,0.97641194
T11165,CC[C@](N)(CCC(=O)O)C(=O)O,0.5920674,0.04849057,0.15940459,0.004492601,0.83610284
T16474,Cn1cc(-c2ccc(S(=O)(=O)[C@@H]3C[C@@H](C(=O)NC4(C#N)CC4)N(C(=O)C4(C(F)(F)F)CC4)C3)c(C(F)(F)F)c2)cn1,0.87982213,0.36451638,0.48153237,0.2275418,0.29092583
T11770,C=CC(=O)N1CCN2c3c(cnc4c(C)c(-c5c(O)cccc5F)c(Cl)cc34)OC[C@H]2C1,0.84683853,0.32716465,0.29784033,0.38256505,0.3195946
T23264,Cl.Cn1cc(C(=O)C(=O)N[C@H]2CN3CCC2CC3)c2ccccc21,0.60254234,0.22627208,0.34078956,0.09001221,0.5691983
T25513,CCCc1nn(C)c2c(=S)nc(-c3cc(S(=O)(=O)N4CCN(CCO)CC4)ccc3OCC)[nH]c12,0.88379997,0.2765842,0.38161188,0.19279628,0.42559183
T26486,CCc1ccc(-n2cnc3c(sc4nccc(N(C)C)c43)c2=O)cc1,0.95559007,0.2996631,0.18403363,0.36336982,0.45259655
T31740,C#CCNC(=O)C=CC(=O)O,0.64132375,0.079269744,0.25532448,0.009261741,0.7354138
T33795,COc1ccc2c(c1)Oc1cc(OP(=O)(O)O)ccc1C21OC(=O)c2ccccc21.NC1CCCCC1,0.6244534,0.11368504,0.43491128,0.023947988,0.54114074
