ID,SMILES,Best_Gene,DrugCLIP_Score,Activity_Level,Toxicity_Level,Active_Targets,Active_Accessions
T9177,O=S1(=O)NCN(C2CC2)c2ccc(F)cc21,THRSP,0.7617,高活性,毒性,2890;29629;50592;29627;29628;2892;2891;2893,P19490;P42262;P42261;P19491;P19492;P19493;P42263;P48058
T50075,Cc1noc(C)c1-c1ccccc1,PPARD,0.7612,活性,低毒性,,O60885
PDK0015,O=c1cc(O)c2ccccc2o1,THRB,0.7598,活性,毒性,771;768,Q16790;O43570
T7452,COc1ccccc1C=CC=O,PPARD,0.7593,活性,毒性,,
TN4525,COC(=O)c1c(O)cccc1O,XPR1,0.7588,高活性,低毒性,771;768;759;760;766;23632,P43166;P00915;Q9ULX7;P00918;Q16790;O43570
T41093,Nc1ccc(C[C@H](N)C(=O)O)cc1,AOC3,0.7583,高活性,低毒性,771;765;759;760;763;762;11238,P00915;P23280;P00918;Q4CVY4;Q9Y2D0;P35218;P22748;O43570
T21344,Cl.OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,NR1H3,0.7578,活性,低毒性,362443,P27471
TN9570,O=C1Cc2ccccc2O1,PPARG,0.7568,活性,低毒性,851520,P06700
T4761,Cc1ncc(CO)c(C=O)c1O.Cl,RXRG,0.7568,活性,低毒性,8805;51592,Q9UPN9;O15164
T23396,Cc1[nH]c2ccc(Cl)cc2c1CCN(C)C,ACACA,0.7563,高活性,低毒性,29412;150;24173;4837;5409;1565;3357;3176;27232;24174;3363;3362;2593;24175;151;25083;115;29413;152;64354,O60503;ANW61984;P22909;P08913;P41595;P19328;P31388;P21964;P43140;P15823;P18825;Q14749;P23944;Q14353;P18089;P50406;P34969;P11086;P50135;P22086;P40261
T66813,NC(CC(=O)O)C(=O)O,AOC3,0.7559,活性,低毒性,134391,Q8TDV0
T77641,Brc1cncc2nccn12,SCD,0.7554,活性,低毒性,,
T16801,NC(C(=O)O)c1nn[nH]n1,PPARG,0.7544,活性,低毒性,2902;2904;24411;24409;24408;170796;2905;2903;191573;24412;24410,Q9R1M7;NP_000825;NP_001127880;NP_000826;NP_001172020;Q00959;Q8VHN2;2QQS_A;Q00960;P35439;Q00961;Q62645
T11589,O.O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[K+].[K+].[K+],RXRG,0.7544,活性,低毒性,,
T78231,O=C(O)c1cc2ccsc2[nH]1,GPAM,0.7534,活性,低毒性,,P14920
T84011,CCCCC(CC)C(=O)OC,RXRG,0.7534,高活性,低毒性,759;760,P00918;P00915
T77690,N[C@@H](CC1CCCCC1)C(=O)O,THRSP,0.7534,活性,低毒性,12293,O08532
TF0098,OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](OCCCCCCC3CCCCC3)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,PPARG,0.7529,活性,低毒性,,4FCF_A
T5938,NCc1ccc(Oc2ccccc2)cc1,THRSP,0.7529,活性,低毒性,,P0DTD1
T3S1967,Cn1cc(C[C@H](N)C(=O)O)c2ccccc21,ACACA,0.7505,活性,低毒性,3620,P14902;NP_002155
T8213,C=C[C@@]1(C)Cc2occ(C)c2[C@@H]2OC(=O)C(=C)[C@@H]21,NR1H3,0.7485,活性,低毒性,18126,P29477
T60312,c1csc(SSc2nccs2)n1,PPARG,0.7461,活性,低毒性,5163;2203,Q15118;P09467
T7059,C[C@H]1[C@H](O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,NR1H3,0.7451,高活性,毒性,7468;6850,O96028;P43405
T20402,C=CCc1cc(OC)c2c(c1OC)OCO2,PPARG,0.7451,活性,低毒性,1576;246;134391,AAC52118;NP_059488;Q8TDV0
T15277,Cn1c(=O)c2ncnnc2n(C)c1=O,THRSP,0.7451,活性,低毒性,7345;25643;728386;57646;55704;84749;9101;23252;9100,Q14694;P09936;NP_056022;AAF95916;P08753;BAE44387;1RA7_A;P40818;Q70CQ3;Q96RU2;NP_371243;A8MUK1
TC0022,c1ccc2c(c1)CN1CCCC1=N2,GPAM,0.7446,活性,低毒性,590;43,P22303;P06276
T2729,COc1cc2ccc(=O)oc2cc1OC,PPARA,0.7446,活性,低毒性,4170,Q46085;Q07820
T71966,Cc1cccc2c1CCNC2=O,FASN,0.7441,高活性,低毒性,11545;57097;84875;142,Q53GL7;P11103;P09874;Q9NR21
T5682,Oc1ccc2cc[nH]c2c1,GPAM,0.7441,活性,低毒性,,P50225
TN9396,Cc1ccc2ccc(C)cc2c1,THRSP,0.7441,高活性,低毒性,13087;1548,P20852;P11509
T9169,C[n+]1ccc(-c2ccccc2)cc1.[I-],GPAM,0.7432,活性,低毒性,6581,O75751
T28089,CC(C)(C)C(=O)NCc1ccc(Cl)c(C(=O)Nc2ncc[nH]2)c1,NR1H3,0.7432,活性,低毒性,480698;9536,O14684;A0SYQ0
T21102,N[C@H](C(=O)O)c1ccc(F)cc1,PPARD,0.7422,活性,低毒性,,
T24897,Cc1csc(-c2[nH]cnc2-c2ccc3ncsc3c2)n1,PPARG,0.7422,高活性,低毒性,7046;657,P36894;P36897;Q15796
T9367,O=Cc1cccc(C(F)(F)F)c1,AOC3,0.7417,活性,毒性,,
T5757,COC(=O)C1=CO[C@@H](O)[C@@H]2[C@@H](C)[C@@H](O)C[C@H]12,NR1H3,0.7417,活性,低毒性,7099,O00206
T32116,O=C1CC(C(=O)O)NC(=O)N1,RXRG,0.7417,活性,低毒性,69719,B2RQC6
T2O2776,CC(C)[C@H](N)C(=O)O,XPR1,0.7402,活性,毒性,,1T4S_A
T7919,Nc1ccc(C(=O)O)cn1,AOC3,0.7393,高活性,低毒性,2568;2556;2563;2564;2557;2569;2565;2554;2558;2559;55879;2555;2560;2562;2561;2566;2567,P18507;P18505;O14764;P28472;P78334;P47869;Q9UN88;P31644;Q8N1C3;Q16445;P47870;O00591;P48169;Q99928;P24046;P34903;P14867
T29844,O=C1NC(=O)C2(N1)c1ccccc1-c1ccc(F)cc12,ACACA,0.7388,高活性,低毒性,396924;24192,P50578;P07943
T6697,O=C1CC(=O)c2c(Cl)c(Cl)c(Cl)c(Cl)c21,PPARD,0.7383,活性,低毒性,1889;80198;7347,P15374;P42892;Q96NY9
