name,smiles,MW,LogP,TPSA,HBD,HBA,RotB,Lipinski_violations,max_tc,best_match,best_target
T9685,Cn1nccc1[C@H]1CCCC[C@@H]1Oc1cc(F)c(S(=O)(=O)Nc2ccncn2)cc1Cl,465.94,3.91,99.0,1,6,6,0,0.1579,Cilofexor (GS-9674),FXR
T15195,N=C(N)Nc1nc(CSCCN/C=N/S(=O)(=O)c2ccc(Br)cc2)cs1,477.44,2.45,133.3,4,6,9,0,0.1579,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta
T9588,C=CCOc1ccccc1CCNC(=O)/C=C/c1c[nH]c2c(OC)cccc12,376.46,4.11,63.4,2,3,9,0,0.1579,Firsocostat (GS-0976),ACC
T11838,Cc1c(Cc2ccccc2)nnc(N2CCN(c3cnc(C(C)(C)O)cn3)C(C)C2)c1C,432.57,3.42,78.3,1,7,5,0,0.1579,Firsocostat (GS-0976),ACC
T60064,COc1ccc(C(=O)Nc2ccc(-c3nc4ccccc4[nH]3)cc2)c(OC)c1,373.41,4.5,76.2,2,4,5,0,0.1579,BI-1467335,AOC3/VAP-1
T60200,COc1cc2c3c(n(CCCn4ccnc4)c(=O)c2cc1OC)-c1cc2c(cc1C3=O)OCO2,459.46,3.25,93.8,0,7,6,0,0.1579,Firsocostat (GS-0976),ACC
T67775,O=C(Nc1ccc(OS(=O)(=O)c2ccccc2)cc1)C12CC3CC(CC(C3)C1)C2,411.52,4.61,72.5,1,4,5,0,0.1579,Cilofexor (GS-9674),FXR
T32114,[H][C@@]12CC[C@](OC(=O)CC)(C(=O)COC(C)=O)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@@]21C,460.57,3.31,107.0,1,7,5,0,0.1579,Obeticholic acid (OCA),FXR
T21512,O=C(O)[C@@H](Cc1ccccc1)NS(=O)(=O)c1ccc(-c2ccccc2)cc1,381.45,3.33,83.5,2,3,7,0,0.1579,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta
T69685,CC(CC(=O)NCc1ccc2[nH]c(=O)[nH]c2c1)c1c(F)cccc1F,345.35,2.94,77.8,3,2,5,0,0.1579,VK2809,THR-beta
T77520,COc1cccc(Oc2ccccc2NC(=O)CNC(=O)c2cccc3ccccc23)c1,426.47,5.01,76.7,2,4,7,1,0.1579,BI-1467335,AOC3/VAP-1
T77595,C/C(=C\C=C\[C@@H](C)c1ccccn1)[C@H]1OC(=O)C[C@H](O)CC[C@@](C)(O)[C@@H](OC(=O)N2CCN(C)CC2)/C=C/[C@@H]1C,555.72,3.84,112.4,2,8,5,1,0.1579,Firsocostat (GS-0976),ACC
T29663,CCN(CC)C(=O)c1ccc(C2=CC3(CCNCC3)Oc3ccccc32)c(O)c1,392.5,3.82,61.8,2,4,4,0,0.1579,Denifanstat (TVB-2640),FASN
T40286,[H][C@@]12CCOc3c(cc(F)c(-c4ccc(F)c5sc(N)c(C#N)c45)c3Cl)C(=O)N1CCN(C(=O)C=C)C2,528.97,4.58,99.7,1,6,2,1,0.1579,Denifanstat (TVB-2640),FASN
T72055,O=c1cc(-c2ccc(OCCOCCNCc3ccccc3)cc2)oc2ccccc12,415.49,4.65,60.7,1,5,10,0,0.1579,BI-1467335,AOC3/VAP-1
T69552,COc1c([C@H]2[C@H](C(=O)Nc3ccnc(C(N)=O)c3)O[C@@](C)(C(F)(F)F)[C@H]2C)ccc(F)c1F,473.4,3.55,103.5,2,5,5,0,0.1579,Cilofexor (GS-9674),FXR
T11329,CC1(C)c2cccc(C(=O)NO)c2CN1c1cnc(C(F)(F)F)cn1,352.32,2.87,78.4,2,5,2,0,0.1579,BI-1467335,AOC3/VAP-1
T26240,Cc1cc(N)c2cc(NC(=O)Nc3ccc4nc(C)cc(N)c4c3)ccc2n1,372.43,4.21,119.0,4,5,2,0,0.1579,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta
T28497,Cc1cc(C)c(C)c(S(=O)(=O)Nc2ccc(N3CC[C@H](C(=O)O)C3)c3ccccc23)c1C,452.58,4.79,86.7,2,4,5,0,0.1579,Denifanstat (TVB-2640),FASN
T85333,COc1ccc2c(c1)nc(NCCCCNC(=O)CC(C)C)c1nnc(C)n12,384.48,2.95,93.4,2,6,9,0,0.1579,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta
T39552,CC(C)c1cc(Cl)cc(C(C)C)c1NC(=O)NS(=O)(=O)c1cc(C(C)(C)O)co1,442.97,4.92,108.6,3,5,6,0,0.1579,VK2809,THR-beta
