name,smiles,MW,LogP,TPSA,HBD,HBA,RotB,Lipinski_violations,max_tc,best_match,best_target
T1789,CC[C@H]1[C@@H](O)[C@@H]2[C@H](CC[C@]3(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12,420.63,5.11,77.8,3,3,5,1,1.0000,Obeticholic acid (OCA),FXR
T3595,CC(C)c1cc(Oc2c(Cl)cc(-n3nc(C#N)c(=O)[nH]c3=O)cc2Cl)n[nH]c1=O,435.23,2.1,146.5,2,7,4,0,1.0000,Resmetirom,THR-beta
T7184,COc1ccccc1[C@H](Cn1c(=O)n(C(C)(C)C(=O)O)c(=O)c2c(C)c(-c3ncco3)sc21)OC1CCOCC1,569.64,3.95,135.0,1,9,9,1,1.0000,Firsocostat (GS-0976),ACC
T7395,O=C(O)CCCc1cc2cc(Cl)ccc2n1S(=O)(=O)c1ccc2ncsc2c1,434.93,4.55,89.3,1,5,6,0,1.0000,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta
TQ0243,COc1ccccc1[C@H](Cn1c(=O)n(C(C)(C)C(N)=O)c(=O)c2c(C)c(-c3ncco3)sc21)OC1CCOCC1,568.65,3.35,140.8,1,9,9,1,0.8889,Firsocostat (GS-0976),ACC
T11428,[H][C@@]12CC[C@H]([C@H](C)CCC(=O)NCC(=O)O)[C@@]1(C)CC[C@]1([H])[C@@]3(C)CC[C@@H](O)C[C@@]3([H])[C@@H](CC)[C@@H](O)[C@@]21[H],477.69,4.23,106.9,4,4,7,0,0.8103,Obeticholic acid (OCA),FXR
TQ0252,CC[C@H]1[C@@H](O)[C@@H]2[C@H](CC[C@]3(C)[C@@H]([C@H](C)CCO)CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12,392.62,4.63,60.7,3,3,4,0,0.7736,Obeticholic acid (OCA),FXR
T15271,Cc1n[nH]c(-c2cc(C(=O)N3CCC(c4ccc(C#N)cc4)CC3)c(C)cc2C2CCC2)n1,439.56,5.25,85.7,1,4,4,1,0.7612,Denifanstat (TVB-2640),FASN
T4083,CC[C@@H]1[C@H](O)[C@@H]2[C@H](CC[C@]3(C)[C@@H]([C@H](C)CCCO)CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12,406.65,5.02,60.7,3,3,5,1,0.7593,Obeticholic acid (OCA),FXR
T8752,[H][C@@]12CC[C@]([H])([C@H](C)CCCO)[C@@]1(C)CC[C@]1([H])[C@@]3(C)CC[C@@H](O)C[C@@]3([H])[C@H](CC)[C@@H](O)[C@@]21[H],406.65,5.02,60.7,3,3,5,1,0.7593,Obeticholic acid (OCA),FXR
T13092,[H][C@@]12CC[C@H]([C@H](C)CCC(=O)NCCS(=O)(=O)O)[C@@]1(C)CC[C@]1([H])[C@@]3(C)CC[C@@H](O)C[C@@]3([H])[C@@H](CC)[C@@H](O)[C@@]21[H],527.77,4.03,123.9,4,5,8,1,0.7031,Obeticholic acid (OCA),FXR
T2968,[H][C@@]12C[C@H](O)[C@]3([H])C[C@H](O)CC[C@]3(C)[C@@]1([H])CC[C@]1(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@]21[H],392.58,4.48,77.8,3,3,4,0,0.6909,Obeticholic acid (OCA),FXR
T2963,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])C[C@H](O)[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)O)[C@]1([H])[C@H](O)C2,408.58,3.45,98.0,4,4,4,0,0.6866,Aramchol,SCD1
T7331,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,408.58,3.45,98.0,4,4,4,0,0.6866,Aramchol,SCD1
T19189,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,408.58,3.45,98.0,4,4,4,0,0.6866,Aramchol,SCD1
T0700,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,392.58,4.48,77.8,3,3,4,0,0.6667,Obeticholic acid (OCA),FXR
T0847,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,392.58,4.48,77.8,3,3,4,0,0.6667,Obeticholic acid (OCA),FXR
T29078,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])CC[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@@H](C)CCC(=O)O)[C@]1([H])[C@@H](O)C2,392.58,4.48,77.8,3,3,4,0,0.6667,Obeticholic acid (OCA),FXR
T13506,[H][C@@]12C[C@@H](O)CC[C@]1(C)[C@@]1([H])CC[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)O)[C@]1([H])[C@@H](O)C2,392.58,4.48,77.8,3,3,4,0,0.6667,Obeticholic acid (OCA),FXR
T207107,[H][C@@]12C[C@@H](O)CC[C@]1(C)[C@@]1([H])CC[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)O)[C@]1([H])[C@H](O)C2,392.58,4.48,77.8,3,3,4,0,0.6667,Obeticholic acid (OCA),FXR
T36585,[H][C@@]12CCCC[C@]1(C)[C@@]1([H])C[C@H](O)[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)O)[C@]1([H])[C@H](O)C2,392.58,4.48,77.8,3,3,4,0,0.6377,Aramchol,SCD1
T2831,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])C[C@H](O)[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)NCC(=O)O)[C@]1([H])[C@H](O)C2,465.63,2.56,127.1,5,5,6,0,0.6216,Aramchol,SCD1
T5072,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,465.63,2.56,127.1,5,5,6,0,0.6216,Aramchol,SCD1
T2202,[H][C@]12CC[C@]3([H])[C@]([H])(CC[C@]4(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@]34[H])[C@@]1(C)CC[C@@H](O)C2,376.58,5.51,57.5,2,2,4,1,0.6207,Obeticholic acid (OCA),FXR
T35792,[H][C@]12CC[C@]3([H])[C@]([H])(CC[C@@]4(C)[C@@]3([H])CC[C@]4([H])[C@H](C)CCC(=O)O)[C@@]1(C)CC[C@H](O)C2,376.58,5.51,57.5,2,2,4,1,0.6207,Obeticholic acid (OCA),FXR
T36522,[H][C@@]12CC[C@]3([H])[C@]([H])(CC[C@@]4(C)[C@@]3([H])CC[C@]4([H])[C@H](C)CCC(=O)O)[C@@]1(C)CC[C@H](O)C2,376.58,5.51,57.5,2,2,4,1,0.6207,Obeticholic acid (OCA),FXR
T13522,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3C(=O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,390.56,4.69,74.6,2,3,4,0,0.6066,Obeticholic acid (OCA),FXR
T19124,[H][C@@]12CC(=O)CC[C@]1(C)[C@@]1([H])C[C@H](O)[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)O)[C@]1([H])[C@H](O)C2,406.56,3.66,94.8,3,4,4,0,0.6027,Aramchol,SCD1
TMIH-0148,[2H]C1([2H])C[C@@]2(C)[C@H](C[C@@H](O)[C@@H]3[C@@H]2C[C@H](O)[C@]2(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@H]32)C([2H])([2H])[C@@H]1O,412.6,3.45,98.0,4,4,4,0,0.6027,Aramchol,SCD1
T11662L,[H][C@@]12CC[C@]([H])([C@H](C)C[C@H](C)C(=O)O)[C@@]1(C)[C@@H](O)C[C@]1([H])[C@@]3(C)CC[C@@H](O)C[C@@]3([H])[C@@H](CC)[C@@H](O)[C@@]21[H],450.66,4.33,98.0,4,4,5,0,0.5938,Obeticholic acid (OCA),FXR
T207106,[H][C@@]12CC(=O)[C@]3([H])C[C@H](O)CC[C@]3(C)[C@@]1([H])CC[C@@]1(C)[C@@]2([H])CC[C@]1([H])[C@H](C)CCC(=O)O,390.56,4.69,74.6,2,3,4,0,0.5902,Obeticholic acid (OCA),FXR
T2744,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])C[C@H](O)[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)OC)[C@]1([H])[C@H](O)C2,422.61,3.54,87.0,3,5,4,0,0.5890,Aramchol,SCD1
T4537,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])C[C@H](O)[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)[O-])[C@]1([H])[C@H](O)C2,407.57,2.11,100.8,3,5,4,0,0.5833,Aramchol,SCD1
T37177,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])C[C@H](O)[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CC(=O)O)[C@]1([H])[C@H](O)C2,394.55,3.06,98.0,4,4,3,0,0.5634,Aramchol,SCD1
T8153,[H][C@@]12C[C@H](O)[C@]3([H])C[C@H](O)CC[C@]3(C)[C@@]1([H])CC[C@]1(C)[C@@H]([C@H](C)CCC(=O)NCC(=O)O)CC[C@@]21[H],449.63,3.59,106.9,4,4,6,0,0.5625,Obeticholic acid (OCA),FXR
TMIH-0590,[H][C@@]12CC[C@]([H])([C@H](C)CCC(=O)O)[C@@]1(C)CC[C@]1([H])[C@@]3(C)CC([2H])([2H])[C@@H](O)C([2H])([2H])[C@@]3([H])C[C@H](O)[C@@]21[H],396.6,4.48,77.8,3,3,4,0,0.5625,Obeticholic acid (OCA),FXR
TN2259,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])C[C@H](O)[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)NCCS(=O)(=O)O)[C@]1([H])[C@H](O)C2,515.71,2.37,144.2,5,6,7,1,0.5500,Aramchol,SCD1
T65070,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])CC[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)[O-])[C@]1([H])[C@H](O)C2,391.57,3.14,80.6,2,4,4,0,0.5484,Obeticholic acid (OCA),FXR
T4588,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])CC[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)NCC(=O)O)[C@]1([H])[C@H](O)C2,449.63,3.59,106.9,4,4,6,0,0.5455,Obeticholic acid (OCA),FXR
T5234,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,449.63,3.59,106.9,4,4,6,0,0.5455,Obeticholic acid (OCA),FXR
TWA2417,C[C@H](CCC(=O)NCCS(=O)(=O)[O-])[C@H]1CC[C@H]2[C@@H]3[C@H](O)CC4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,514.71,2.03,147.0,4,7,7,1,0.5432,Aramchol,SCD1
T10623,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])CC[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)CF)[C@]1([H])[C@H](O)C2,408.6,4.93,57.5,2,3,5,0,0.5312,Obeticholic acid (OCA),FXR
T10087,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])CC[C@]3(C)[C@@H]([C@H](C)CC(=O)O)CC[C@@]3([H])[C@]1([H])[C@@H](O)C2,378.55,4.09,77.8,3,3,3,0,0.5246,Obeticholic acid (OCA),FXR
T11557,Cc1cc(C)c(-c2[nH]nc(C)c2C)cc1C(=O)N1CC(c2ccc(C#N)cc2)C1,384.48,4.42,72.8,1,3,3,0,0.5205,Denifanstat (TVB-2640),FASN
T17180,Cc1cc(C)c(-c2n[nH]c(C)c2C)cc1C(=O)N1CC(c2ccc(C#N)cc2)C1,384.48,4.42,72.8,1,3,3,0,0.5205,Denifanstat (TVB-2640),FASN
T7628,CC(CCC(=O)O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,374.57,5.43,57.5,2,2,4,1,0.5152,Obeticholic acid (OCA),FXR
T2965,CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,392.58,4.48,77.8,3,3,4,0,0.5135,Aramchol,SCD1
T13505,[H][C@]12CC[C@]3([H])[C@]([H])(C[C@@H](O)[C@@]4(C)[C@@]3([H])CC[C@]4([H])[C@H](C)CCC(=O)O)[C@@]1(C)CC[C@@H](O)C2,392.58,4.48,77.8,3,3,4,0,0.5135,Aramchol,SCD1
T84944,[H][C@]12CC[C@]3([H])[C@]([H])(C[C@H](O)[C@@]4(C)[C@@]3([H])CC[C@]4([H])[C@H](C)CCC(=O)O)[C@@]1(C)CC[C@H](O)C2,392.58,4.48,77.8,3,3,4,0,0.5135,Aramchol,SCD1
T31964,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,433.63,4.62,86.6,3,3,6,0,0.5075,Obeticholic acid (OCA),FXR
TN7583,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])CC(=O)[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)O)[C@]1([H])[C@H](O)C2,406.56,3.66,94.8,3,4,4,0,0.5075,Obeticholic acid (OCA),FXR
TN7120,[H][C@]12CC(=O)[C@@]3([H])[C@]4([H])CC[C@]([H])([C@H](C)CCC(=O)O)[C@@]4(C)[C@@H](O)C[C@]3([H])[C@@]1(C)CC[C@@H](O)C2,406.56,3.66,94.8,3,4,4,0,0.5000,Obeticholic acid (OCA),FXR
T5259,C[C@H](CCC(=O)NCC(=O)[O-])[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,448.62,2.26,109.7,3,5,6,0,0.4928,Obeticholic acid (OCA),FXR
T14002,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC(=O)[C@]12C,390.56,4.69,74.6,2,3,4,0,0.4925,Obeticholic acid (OCA),FXR
T37770,[H][C@@]12C[C@H](O)[C@]3([H])C[C@H](O)CC[C@]3(C)[C@@]1([H])CC[C@@]1(C)[C@@]2([H])CC[C@]1([H])[C@H](C)CCC(=O)NCCS(=O)(=O)O,499.71,3.4,123.9,4,5,7,0,0.4857,Obeticholic acid (OCA),FXR
T8092,C[C@H](CCC(=O)NCCS(=O)(=O)[O-])[C@H]1CC[C@H]2[C@@H]3C[C@H](O)[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,498.71,3.05,126.8,3,6,7,0,0.4789,Obeticholic acid (OCA),FXR
T2532,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,499.71,3.4,123.9,4,5,7,0,0.4722,Obeticholic acid (OCA),FXR
T2A2481,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,499.71,3.4,123.9,4,5,7,0,0.4722,Obeticholic acid (OCA),FXR
T5313,Cc1cc(OCC(=O)O)cc(C)c1Cc1ccc(O)c(C(C)C)c1,328.41,4.19,66.8,2,3,6,0,0.4722,VK2809,THR-beta
T16998,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])CC[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)NCCS(=O)(=O)O)[C@]1([H])[C@@H](O)C2,499.71,3.4,123.9,4,5,7,0,0.4722,Obeticholic acid (OCA),FXR
T13502,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,374.57,5.72,54.4,1,2,4,1,0.4697,Obeticholic acid (OCA),FXR
T5352,[H][C@@]12CCC3C[C@H](O)CC[C@]3(C)[C@@]1([H])C[C@H](O)[C@]1(C)[C@@H]([C@H](C)CCC(=O)NCC(=O)O)CC[C@]12[H],449.63,3.59,106.9,4,4,6,0,0.4691,Aramchol,SCD1
TMIH-0182,[2H]C1([2H])C[C@@]2(C)[C@H](CC[C@@H]3[C@@H]2C[C@H](O)[C@]2(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@H]32)C([2H])([2H])[C@@H]1O,396.6,4.48,77.8,3,3,4,0,0.4684,Aramchol,SCD1
T6993,C[C@H](CCC(=O)NCCS(=O)(=O)[O-])[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,498.71,3.05,126.8,3,6,7,0,0.4658,Obeticholic acid (OCA),FXR
T11954,Cc1cc(OCP(=O)(O)O)cc(C)c1Cc1ccc(O)c(C(C)C)c1,364.38,4.24,87.0,3,3,6,0,0.4658,VK2809,THR-beta
T207843,[H][C@]12CC[C@]3([H])[C@]([H])(C[C@H](O)[C@@]4(C)[C@@]3([H])CC[C@]4([H])[C@H](C)CCC(=O)O)[C@@]1(C)CC[C@@H](OS(=O)(=O)O)C2,472.64,4.31,121.1,3,5,6,0,0.4634,Aramchol,SCD1
T64334,[H][C@]12CC[C@]3([H])[C@]([H])(CC[C@@]4(C)[C@@]3([H])CC[C@]4([H])[C@H](C)CCC(=O)NCC(=O)[O-])[C@@]1(C)CC[C@@H](O)C2,432.63,3.29,89.5,2,4,6,0,0.4571,Obeticholic acid (OCA),FXR
TN2215,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])CC[C@]3(C)[C@@H]([C@H](C)CCC(=O)NCCS(=O)(=O)[O][Na])CC[C@@]3([H])[C@]1([H])[C@H](O)C2,521.7,2.94,112.9,3,6,8,1,0.4474,Obeticholic acid (OCA),FXR
T32798,[H][C@]12CC[C@]3([H])[C@]([H])(CC[C@@]4(C)[C@@]3([H])CC[C@]4([H])[C@H](C)CCC(=O)ON3C(=O)CCC3=O)[C@@]1(C)CC[C@@H](O)C2,473.65,5.03,83.9,1,5,5,1,0.4384,Obeticholic acid (OCA),FXR
T34788,[H][C@]12CC[C@]3([H])[C@]([H])(CC[C@@]4(C)[C@@]3([H])CC[C@]4([H])[C@H](C)CCC(=O)NCCS(=O)(=O)O)[C@@]1(C)CC[C@@H](O)C2,483.72,4.43,103.7,3,4,7,0,0.4384,Obeticholic acid (OCA),FXR
T17181,COCc1nc(C(F)(F)F)[nH]c1-c1cc(C(=O)N2CC(c3ccc(C#N)cc3)C2)c(C)cc1C,468.48,4.97,82.0,1,4,5,0,0.4353,Denifanstat (TVB-2640),FASN
T4727,C[C@H](CCC(=O)NCCS(=O)(=O)[O-])[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,482.71,4.08,106.5,2,5,7,0,0.4324,Obeticholic acid (OCA),FXR
T5077,C[C@H](CCC(=O)[O-])[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,391.57,3.14,80.6,2,4,4,0,0.4304,Aramchol,SCD1
T5254,C[C@H](CCC(=O)NCC(=O)[O-])[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,448.62,2.26,109.7,3,5,6,0,0.4286,Aramchol,SCD1
T75319,[H][C@]12CC[C@]3([H])[C@]([H])(C[C@H](O)[C@@]4(C)[C@@]3([H])CC[C@]4([H])[C@H](C)CCC(=O)NCCS(=O)(=O)O)[C@@]1(C)CC[C@@H](O)C2,499.71,3.4,123.9,4,5,7,0,0.4138,Aramchol,SCD1
T11515,[H][C@@]12C[C@H](OS(=O)(=O)[O-])CC[C@]1(C)[C@@]1([H])CC[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)CF)[C@]1([H])[C@H](O)C2,487.65,4.42,103.7,1,6,7,0,0.4133,Obeticholic acid (OCA),FXR
T19526,Nc1ncnc2c1ncn2CCOC[P@@]1(=O)OCC[C@@H](c2cccc(Cl)c2)O1,423.8,3.41,114.4,1,8,6,0,0.4111,VK2809,THR-beta
T78495,[H][C@]12CC[C@]3([H])[C@]([H])(C[C@H](O)[C@@]4(C)[C@@]3([H])CC[C@]4([H])[C@H](C)CC(=O)O)[C@@]1(C)CC[C@@H](O)C2,378.55,4.09,77.8,3,3,3,0,0.4103,Aramchol,SCD1
TJA2398,[H][C@]12CC[C@]3([H])[C@]([H])(C[C@H](O)[C@@]4(C)[C@@]3([H])CC[C@]4([H])[C@H](C)CCC(=O)NCCS(=O)(=O)[O-])[C@@]1(C)CC[C@@H](O)C2,498.71,3.05,126.8,3,6,7,0,0.4091,Aramchol,SCD1
T37215,[H][C@@]12C[C@@H](O)[C@@]3(O)C[C@@H](O)CC[C@]3(C)[C@@]1([H])CC[C@@]1(C)[C@@]2([H])CC[C@]1([H])[C@H](C)CCCC(C)C,420.68,5.55,60.7,3,3,5,1,0.4000,Obeticholic acid (OCA),FXR
TN2349,[H][C@]12CC[C@]3([H])[C@]([H])(C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(=O)NCCS(=O)(=O)[O][Na])CC[C@]43[H])[C@@]1(C)CC[C@@H](O)C2,521.7,2.94,112.9,3,6,8,1,0.3956,Aramchol,SCD1
T0408,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3C(=O)C[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC(=O)[C@]12C,402.53,4.07,88.5,1,4,4,0,0.3889,Obeticholic acid (OCA),FXR
T12220,CC(C)(C)c1ccc(OCC(=O)NCCNC(=O)COc2ccc(C(C)(C)C)cc2)cc1,440.58,3.97,76.7,2,4,9,0,0.3800,BI-1467335,AOC3/VAP-1
T8754,Cc1c(-c2ncco2)sc2[nH]c(=O)n(C(C)(C)C(=O)OC(C)(C)C)c(=O)c12,391.45,2.79,107.2,1,7,3,0,0.3656,Firsocostat (GS-0976),ACC
T13518,[H][C@@]12C[C@H](O)[C@@]3([H])C[C@@H](O)CC[C@]3(C)[C@@]1([H])CC[C@]1(C)[C@@H](C(C)=O)CC[C@@]21[H],334.5,3.57,57.5,2,3,1,0,0.3548,Obeticholic acid (OCA),FXR
T84225,[H][C@@]12C[C@H](O)[C@@]3([H])C[C@@H](O)CC[C@]3(C)[C@@]1([H])CC[C@]1(C)[C@@H](O)CC[C@@]21[H],308.46,2.72,60.7,3,3,0,0,0.3390,Obeticholic acid (OCA),FXR
T13919,CC(C)(C)c1ccc(OCC(O)COc2ccc(C(=O)O)cc2)cc1,344.41,3.5,76.0,2,4,7,0,0.3333,BI-1467335,AOC3/VAP-1
T0516,C[C@H](CCC(=O)[O-])[C@H]1CC[C@H]2[C@@H]3C(=O)C[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC(=O)[C@]12C,401.52,2.74,91.3,0,5,4,0,0.3117,Obeticholic acid (OCA),FXR
T10953,Cc1cccc(C)c1OCc1cc(C(=O)N2CCC(c3ccncc3)CC2)no1,391.47,4.29,68.5,0,5,5,0,0.3059,Denifanstat (TVB-2640),FASN
T1172,N#CC(c1ccc(Cl)cc1)c1c(Cl)cc(-n2ncc(=O)[nH]c2=O)cc1Cl,407.64,3.54,91.5,1,4,3,0,0.3014,Resmetirom,THR-beta
T41015L,[H][C@@]12CC=C3C[C@@H](OS(=O)(=O)[O-])CC[C@]3(C)[C@@]1([H])CC[C@@]1(C)[C@@]2([H])CC[C@]1([H])[C@H](C)CCCC(C)(C)O,481.72,5.99,86.7,1,5,7,1,0.3012,Obeticholic acid (OCA),FXR
T0095,Cn1c(CCCC(=O)O)nc2cc(N(CCCl)CCCl)ccc21,358.27,3.26,58.4,1,3,9,0,0.2987,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta
T9375,Cc1cc(C(=O)CN2CCC(O)CC2)c(C)n1-c1ccc(C#N)cc1,337.42,2.61,69.3,1,4,4,0,0.2963,Denifanstat (TVB-2640),FASN
TN1879,C[C@H](CCC(=O)O)[C@H]1CC(=O)[C@@]2(C)C3=C(C(=O)C[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@@H]1C[C@@H]3O,458.6,4.13,108.7,2,5,4,0,0.2963,Obeticholic acid (OCA),FXR
T27832,CC(C)(C)c1ccc(CCC(O)COc2ccc(C(=O)O)cc2)cc1,342.44,4.05,66.8,2,3,7,0,0.2951,BI-1467335,AOC3/VAP-1
T40548,Cc1cc(OCC(=O)O)cc(C)c1Cc1cc(C#Cc2ccc([N+](=O)[O-])cc2)c(O)c(C(C)C)c1,473.53,5.49,109.9,2,5,7,1,0.2947,VK2809,THR-beta
T10783,Cn1c(-c2cccnc2)c(CCCCCC(=O)O)c2cc(Cl)ccc21,356.85,5.08,55.1,1,2,7,1,0.2927,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta
T16126,C[C@](C#N)(COc1cc(C#N)ccc1C(F)(F)F)NC(=O)c1ccc(SC(F)(F)F)cc1,473.4,5.28,85.9,1,5,6,1,0.2917,BI-1467335,AOC3/VAP-1
T84364,C[C@@](C#N)(COc1cc(C#N)ccc1C(F)(F)F)NC(=O)c1ccc(SC(F)(F)F)cc1,473.4,5.28,85.9,1,5,6,1,0.2917,BI-1467335,AOC3/VAP-1
T0841,CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,361.83,3.55,75.6,2,3,7,0,0.2903,BI-1467335,AOC3/VAP-1
T9594,N#Cc1ccc2c(c1)[C@H]1CCCN(C(=O)c3ccc4nc[nH]c4c3)[C@H]1C2,342.4,3.38,72.8,1,3,1,0,0.2889,Denifanstat (TVB-2640),FASN
T13033,CC(C)Oc1ccc(C(=O)NS(=O)(=O)c2ccc(N)cc2)cc1,334.4,2.17,98.5,2,5,5,0,0.2881,BI-1467335,AOC3/VAP-1
T72078,CCOc1ccc(NC(=O)c2ccc(-c3nnn[nH]3)cc2)cc1,309.33,2.52,92.8,2,5,5,0,0.2812,BI-1467335,AOC3/VAP-1
T41372,CC[C@@H](C(C)C)[C@H](O)[C@@H](O)[C@@H](C)[C@H]1CC[C@H]2[C@@H]3COC(=O)[C@H]4C[C@H](O)[C@H](O)C[C@]4(C)[C@H]3CC[C@]12C,494.71,3.78,107.2,4,6,6,0,0.2805,Obeticholic acid (OCA),FXR
T8465,[H][C@@]12COC(=O)[C@@]3([H])C[C@H](O)[C@H](O)C[C@]3(C)[C@@]1([H])CC[C@@]1(C)[C@@]2([H])CC[C@]1([H])[C@H](C)[C@@H](O)[C@H](O)[C@@H](CC)C(C)C,494.71,3.78,107.2,4,6,6,0,0.2805,Obeticholic acid (OCA),FXR
TQ0266,Cc1[nH]nc2ncc(C(=O)N3CCC[C@H]3c3ccc(Cl)cc3)cc12,340.81,3.9,61.9,1,3,2,0,0.2791,Denifanstat (TVB-2640),FASN
