Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Fatty Acid Biosynthetic Process (GO:0006633),2/65,0.0003689413127509055,0.0028956303031055,0,0,90.37641723356008,714.4140977699672,FASN;ACACA
GO_Biological_Process_2023,Monocarboxylic Acid Biosynthetic Process (GO:0072330),2/65,0.0003689413127509055,0.0028956303031055,0,0,90.37641723356008,714.4140977699672,FASN;ACACA
GO_Biological_Process_2023,Lipid Biosynthetic Process (GO:0008610),2/71,0.0004401618893536392,0.0033529979218409,0,0,82.4927536231884,637.5343547242987,FASN;ACACA
GO_Biological_Process_2023,Regulation Of Fat Cell Differentiation (GO:0045598),2/75,0.000491070345932343,0.0036339205598993,0,0,77.95694716242662,593.9479909744274,PPARG;PPARD
GO_Biological_Process_2023,Negative Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0030512),2/77,0.0005175500668095362,0.0037173211167468,0,0,75.8704761904762,574.0666965354856,PPARG;PPARA
GO_Biological_Process_2023,Cellular Response To Nutrient Levels (GO:0031669),2/78,0.000531045873820972,0.0037173211167468,0,0,74.86842105263158,564.557468792758,PPARA;PPARD
GO_Biological_Process_2023,Regulation Of Transcription By RNA Polymerase II (GO:0006357),5/2028,0.00094676175871593,0.0064529288291427,0,0,11.102323282254078,77.29951585692952,THRB;NR1H4;PPARG;PPARA;PPARD
GO_Biological_Process_2023,Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0017015),2/111,0.0010713148294175,0.0069367635204788,0,0,52.115334207077325,356.4099212458152,PPARG;PPARA
GO_Biological_Process_2023,Negative Regulation Of Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway (GO:0090101),2/111,0.0010713148294175,0.0069367635204788,0,0,52.115334207077325,356.4099212458152,PPARG;PPARA
GO_Biological_Process_2023,Regulation Of Very-Low-Density Lipoprotein Particle Remodeling (GO:0010901),1/5,0.0022481605524021,0.0130528215030922,0,0,624.59375,3808.549663430724,NR1H4
GO_Biological_Process_2023,Response To Bile Acid (GO:1903412),1/5,0.0022481605524021,0.0130528215030922,0,0,624.59375,3808.549663430724,NR1H4
GO_Biological_Process_2023,Regulation Of Cellular Response To Insulin Stimulus (GO:1900076),1/6,0.0026972559359141,0.0130528215030922,0,0,499.65,2955.689739283532,PPARG
GO_Biological_Process_2023,Macrophage Derived Foam Cell Differentiation (GO:0010742),1/6,0.0026972559359141,0.0130528215030922,0,0,499.65,2955.689739283532,PPARG
GO_Biological_Process_2023,Regulation Of Vascular Associated Smooth Muscle Cell Apoptotic Process (GO:1905459),1/6,0.0026972559359141,0.0130528215030922,0,0,499.65,2955.689739283532,PPARG
GO_Biological_Process_2023,Positive Regulation Of Phospholipid Biosynthetic Process (GO:0071073),1/6,0.0026972559359141,0.0130528215030922,0,0,499.65,2955.689739283532,NR1H4
GO_Biological_Process_2023,White Fat Cell Differentiation (GO:0050872),1/6,0.0026972559359141,0.0130528215030922,0,0,499.65,2955.689739283532,PPARG
GO_Biological_Process_2023,Negative Regulation Of Response To Type II Interferon (GO:0060331),1/6,0.0026972559359141,0.0130528215030922,0,0,499.65,2955.689739283532,PPARG
GO_Biological_Process_2023,Negative Regulation Of Type II Interferon-Mediated Signaling Pathway (GO:0060336),1/6,0.0026972559359141,0.0130528215030922,0,0,499.65,2955.689739283532,PPARG
GO_Biological_Process_2023,Regulation Of Adiponectin Secretion (GO:0070163),1/6,0.0026972559359141,0.0130528215030922,0,0,499.65,2955.689739283532,PPARG
GO_Biological_Process_2023,Intracellular Triglyceride Homeostasis (GO:0035356),1/6,0.0026972559359141,0.0130528215030922,0,0,499.65,2955.689739283532,NR1H4
GO_Biological_Process_2023,Regulation Of Bile Acid Metabolic Process (GO:1904251),1/6,0.0026972559359141,0.0130528215030922,0,0,499.65,2955.689739283532,NR1H4
GO_Biological_Process_2023,Regulation Of Cardiac Muscle Hypertrophy In Response To Stress (GO:1903242),1/6,0.0026972559359141,0.0130528215030922,0,0,499.65,2955.689739283532,PPARG
