Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,Signaling By Nuclear Receptors R-HSA-9006931,2/260,0.0057062962100362,0.0132059998003696,0,0,21.85271317829457,112.8951615552021,FASN;PPARD
Reactome_2022,Synthesis Of Bile Acids And Bile Salts Via 27-Hydroxycholesterol R-HSA-193807,1/15,0.0067310464938694,0.014858566253487,0,0,178.36607142857142,892.013120036697,NR1H4
Reactome_2022,Metabolism Of Proteins R-HSA-392499,4/1890,0.0067872463133212,0.014858566253487,0,0,7.679745493107105,38.34274189042302,THRB;NR1H4;PPARG;PPARA
Reactome_2022,Regulation Of Pyruvate Dehydrogenase (PDH) Complex R-HSA-204174,1/16,0.007178349711373,0.0149088801697746,0,0,166.46666666666667,821.7936241053455,PPARD
Reactome_2022,Caspase Activation Via Death Receptors In Presence Of Ligand R-HSA-140534,1/16,0.007178349711373,0.0149088801697746,0,0,166.46666666666667,821.7936241053455,FASN
Reactome_2022,Vitamin B5 (Pantothenate) Metabolism R-HSA-199220,1/17,0.0076254739654265,0.0154415847799887,0,0,156.0546875,760.9633551596094,FASN
Reactome_2022,Recycling Of Bile Acids And Salts R-HSA-159418,1/18,0.0080724193100501,0.015568237240811,0,0,146.86764705882354,707.7995527019895,NR1H4
Reactome_2022,RORA Activates Gene Expression R-HSA-1368082,1/18,0.0080724193100501,0.015568237240811,0,0,146.86764705882354,707.7995527019895,PPARA
Reactome_2022,Defects In Vitamin And Cofactor Metabolism R-HSA-3296482,1/21,0.0094121824505319,0.0177299250812346,0,0,124.81875,582.3731356633181,ACACA
Reactome_2022,Synthesis Of Bile Acids And Bile Salts Via 7Alpha-Hydroxycholesterol R-HSA-193368,1/24,0.0107503374648081,0.0197903939693058,0,0,108.52173913043478,491.9093069362492,NR1H4
Reactome_2022,Caspase Activation Via Extrinsic Apoptotic Signaling Pathway R-HSA-5357769,1/26,0.0116415481869311,0.0208305906599734,0,0,99.83,444.5604442545611,FASN
Reactome_2022,"BMAL1:CLOCK,NPAS2 Activates Circadian Gene Expression R-HSA-1368108",1/27,0.0120868859385031,0.0208305906599734,0,0,95.98557692307692,423.8371981703313,PPARA
Reactome_2022,Endogenous Sterols R-HSA-211976,1/27,0.0120868859385031,0.0208305906599734,0,0,95.98557692307692,423.8371981703313,NR1H4
Reactome_2022,Regulation Of Necroptotic Cell Death R-HSA-5675482,1/29,0.0129770265246845,0.0218987322604052,0,0,89.12053571428571,387.1908225092229,FASN
