Rank,ID,SMILES,Score
96,T65796,COC(=O)C[C@H](N)C(=O)O.Cl,0.7607
97,T2O2730,N[C@@H](CO)C(=O)O,0.7607
98,T78227,CSCC[C@H](N)C(N)=O.Cl,0.7603
99,TYD-00713,Nc1ccc2[nH]ccc2c1,0.7603
100,T2O2731,N[C@@H](CC(=O)O)C(=O)O,0.7598
101,T0689,N[C@H](Cc1ccccc1)C(=O)O,0.7593
102,T3003,NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O,0.7593
103,T0505,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,0.7593
104,T40376,[15NH2][C@@H](Cc1ccccc1)C(=O)O,0.7593
105,T8394,N[C@H](CO)C(=O)O,0.7593
106,T20129,C#CCC(N)C(=O)O,0.7583
107,T41093,Nc1ccc(C[C@H](N)C(=O)O)cc1,0.7583
108,T205990,CC(C)C1NC(=O)NC1=O,0.7583
109,T3S1960,CCC(=O)c1cc2c(cc1O)OCO2,0.7578
110,T23168,Cl.Cn1c2c(c3ccccc31)CCNCC2,0.7573
111,T4822,CC(=O)NCC(=O)O,0.7568
112,T2A2532,N[C@@H](Cc1c[nH]cn1)C(=O)O,0.7568
113,T5965,CCN(CC)C(=S)[S-].[Na+],0.7568
114,T9372,N[C@H](Cc1c[nH]cn1)C(=O)O,0.7568
115,T66813,NC(CC(=O)O)C(=O)O,0.7559
116,T9838,NC(Cc1ccccc1Cl)C(=O)O,0.7559
117,T66911,COc1cccc(OC)c1,0.7559
118,T0019,C[N+](C)(C)CC(=O)O.[Cl-],0.7559
119,T0050,Cc1c(N)c(=O)n(-c2ccccc2)n1C,0.7559
120,T7335,NC[C@H](N)C(=O)O,0.7559
121,T6974,Cn1ccnc1.O=C1NS(=O)(=O)c2ccccc21,0.7554
122,T4885,N[C@H](CC(=O)O)C(=O)O,0.7554
123,T8274,Cn1cncc1C[C@H](N)C(=O)O,0.7554
124,T7694,N[C@@H](Cc1c[nH]c2cc(F)ccc12)C(=O)O,0.7549
125,T67647,C[C@@H](O)[C@@H](N)C(=O)O,0.7549
