name,smiles,max_tc,DrugCLIP_Target,DrugCLIP_Score,active_score,toxicity_score,recommend_score
T36522,[H][C@@]12CC[C@]3([H])[C@]([H])(CC[C@@]4(C)[C@@]3([H])CC[C@]4([H])[C@H](C)CCC(=O)O)[C@@]1(C)CC[C@H](O)C2,0.620700,NR1H3,0.373000,0.029405,0.823196,0.005199
T13522,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3C(=O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,0.606600,NR1H3,0.402300,0.042776,0.750145,0.010688
T19124,[H][C@@]12CC(=O)CC[C@]1(C)[C@@]1([H])C[C@H](O)[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)O)[C@]1([H])[C@H](O)C2,0.602700,NR1H3,0.334000,0.049707,0.723618,0.013738
TMIH-0148,[2H]C1([2H])C[C@@]2(C)[C@H](C[C@@H](O)[C@@H]3[C@@H]2C[C@H](O)[C@]2(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@H]32)C([2H])([2H])[C@@H]1O,0.602700,NR1H3,0.334200,0.059455,0.500642,0.029689
T11662L,[H][C@@]12CC[C@]([H])([C@H](C)C[C@H](C)C(=O)O)[C@@]1(C)[C@@H](O)C[C@]1([H])[C@@]3(C)CC[C@@H](O)C[C@@]3([H])[C@@H](CC)[C@@H](O)[C@@]21[H],0.593800,PPARG,0.345700,0.063400,0.661819,0.021441
T207106,[H][C@@]12CC(=O)[C@]3([H])C[C@H](O)CC[C@]3(C)[C@@]1([H])CC[C@@]1(C)[C@@]2([H])CC[C@]1([H])[C@H](C)CCC(=O)O,0.590200,PPARG,0.288100,0.035266,0.786923,0.007514
T2744,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])C[C@H](O)[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)OC)[C@]1([H])[C@H](O)C2,0.589000,THRB,0.348600,0.050533,0.698320,0.015245
T4537,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])C[C@H](O)[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)[O-])[C@]1([H])[C@H](O)C2,0.583300,NR1H3,0.335700,0.040453,0.834244,0.006705
T37177,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])C[C@H](O)[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CC(=O)O)[C@]1([H])[C@H](O)C2,0.563400,NR1H3,0.441200,0.048851,0.713605,0.013991
T8153,[H][C@@]12C[C@H](O)[C@]3([H])C[C@H](O)CC[C@]3(C)[C@@]1([H])CC[C@]1(C)[C@@H]([C@H](C)CCC(=O)NCC(=O)O)CC[C@@]21[H],0.562500,PPARG,0.234100,0.056188,0.593838,0.022821
