Rank,ID,SMILES,Score
91,TYD-00510,CC(=O)c1cccc2ccccc12,0.7554
92,T7694,N[C@@H](Cc1c[nH]c2cc(F)ccc12)C(=O)O,0.7554
93,TN9568,Cc1c(O)cccc1O,0.7544
94,TN6731,CNc1ccccc1C(=O)OC,0.7544
95,T36092,CCC(C)c1ccccc1OC(=O)NC,0.7544
96,T16801,NC(C(=O)O)c1nn[nH]n1,0.7544
97,T4088,CC1=CC(=O)C(C(C)C)=CC1=O,0.7534
98,TF0098,OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](OCCCCCCC3CCCCC3)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,0.7529
99,TN1925,COC(=O)c1ccccc1N,0.7529
100,T8584,O=C1C[C@H](c2ccccc2)NC(=O)N1,0.7520
101,Fr16741,O=C1Cc2ccccc2N1,0.7520
102,T3018,O=Cc1ccc(O)c(O)c1,0.7515
103,TYD-00261,Cc1cc(=O)cc(C)o1,0.7510
104,T0650,CC(=O)Oc1ccccc1,0.7510
105,T4806,N[C@H](Cc1c[nH]c2ccccc12)C(=O)O,0.7510
106,T5965,CCN(CC)C(=S)[S-].[Na+],0.7505
107,T35427,CCOC(=O)c1c(F)ccc2ccoc12,0.7500
108,T38476,Cc1oc(C)c(S(N)(=O)=O)c1C(=O)O,0.7495
109,TN9597,N#Cc1nccc2ccccc12,0.7495
110,T77581,CNC(=S)NNC(=O)c1cccs1,0.7490
111,T9177,O=S1(=O)NCN(C2CC2)c2ccc(F)cc21,0.7485
112,T3676,Oc1ccc2c(c1)OCO2,0.7476
113,TN9224,COc1c(C)cccc1C,0.7476
114,T19175,CC(=O)Nc1ccc(O)c(O)c1,0.7471
115,TN11100,C[C@@H](CC(=O)O)C(=O)O,0.7471
116,T0491,CCOc1cc(C=O)ccc1O,0.7466
117,TN9672,COC(=O)CCSC,0.7466
118,T5055,CSCC[C@H](NC=O)C(=O)O,0.7466
119,T60312,c1csc(SSc2nccs2)n1,0.7461
120,T8228,CCOC(=O)C1C(C=C(C)C)C1(C)C,0.7461
121,T31907,CC(C)(C)C[C@H](N)C(=O)O,0.7456
122,T10939L,N[C@@H](CCSC[C@H](N)C(=O)O)C(=O)O,0.7456
123,T4630,CCN(CC)C(=O)c1ccc(Cl)cc1,0.7456
124,T66672,N[C@@H](CCSSCC[C@H](N)C(=O)O)C(=O)O,0.7451
125,T20402,C=CCc1cc(OC)c2c(c1OC)OCO2,0.7451
126,T4048,CCOC(=O)C1=C(C)NC(=S)NC1c1cccc(O)c1,0.7451
127,TN2260,C[C@@H]1O[C@@H](Oc2cc(O)c3c(c2)O[C@H](c2ccc(O)c(O)c2)[C@@H](O)C3=O)[C@H](O)[C@H](O)[C@H]1O,0.7446
128,TN9778,CCOc1ccc2ccccc2c1,0.7446
129,T0662,O=c1[nH]c2ccccc2[nH]1,0.7446
130,T1663,Cc1cn([C@H]2C[C@H]([O-])[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)nc1O.[Na+],0.7441
131,TN7090,CC(=O)c1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(O)c1O,0.7441
132,T13515,COc1ccc2[nH]cc(CCO)c2c1,0.7437
133,T7716,O=C(O)[C@@H]1Cc2c([nH]c3ccccc23)CN1,0.7432
134,T25529,CC(C)(C)NC(=S)N/N=C/c1ccc(O)cc1O,0.7432
135,T5518,CC(=O)N[C@@H](CS)C(N)=O,0.7432
136,T125462,COc1cc(/C=C/c2cc(O)cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c2)ccc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,0.7427
137,T4772,CC(C)CC(N)C(=O)O,0.7427
138,T18881,Nc1cc2ccccc2cc1N,0.7427
139,TCS1856,CC(=O)c1ccccc1O,0.7422
140,T24897,Cc1csc(-c2[nH]cnc2-c2ccc3ncsc3c2)n1,0.7422
141,T19856,S=c1[nH]c2ccccc2s1,0.7422
142,T5231,CC(CC(=O)O)C(=O)O,0.7422
143,T0591,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O,0.7417
144,TN2068,C/C=C1/CN2[C@@H]3C[C@@]45c6ccccc6N[C@]4(O3)[C@@H]2C[C@@H]1[C@H]5C(=O)OC,0.7417
145,T10668,c1ccc2c(-c3nccs3)c[nH]c2c1,0.7412
146,TYD-00517,Cc1ccc2[nH]ccc2c1,0.7412
147,T31433,N#Cc1c(Cl)cccc1Cl,0.7407
148,TN9352,NC1=CC(=O)CCC1,0.7407
149,T15047,CC(=O)N[C@@H](CSC(C)=O)C(=O)O,0.7407
150,T75252L,Nc1ccn([C@@H]2O[C@@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@H](O)C2(F)F)c(=O)n1.[Na+].[Na+].[Na+],0.7402
151,T77689,N[C@@H]1CCCC[C@H]1N,0.7402
152,T0783,CN1CCN2c3ccccc3Cc3ccccc3C2C1.Cl,0.7402
153,T1664,CC(O)(CC(=O)O)CC(=O)O,0.7397
154,T0573,COc1ccc2ccccc2c1,0.7397
155,T4948,CC(O)(CC(=O)[O-])C(=O)[O-].[K+].[K+],0.7397
156,T38311,N[C@H](C(=O)O)c1ccsc1,0.7393
157,T65486,Cc1cc(O)c(C)c(C)c1O,0.7393
158,T0752,CCCCCCCCCCCCCCCC(=O)OC[C@H](O)[C@H]1OC(=O)C(O)=C1O,0.7393
159,T3899,O=C(/C=C/c1ccc(O)c(O)c1)OC[C@H]1O[C@@H](OCCc2ccc(O)c(O)c2)[C@H](O)[C@@H](O)[C@@H]1O,0.7393
160,T2772,C=CCSC[C@H](N)C(=O)O,0.7388
161,T0978,CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)NCCSSCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)CO,0.7383
162,PDK0015,O=c1cc(O)c2ccccc2o1,0.7383
163,T84046,CCCC(CCC)C(=O)OCC,0.7383
164,T8870,CC(=O)c1ccc(S(C)=O)cc1,0.7378
165,TN9467,C[C@@H](N)C(N)=O.Cl,0.7373
166,T3O2749,CC(C)C[C@H](N)C(=O)O,0.7373
167,T1248,CC(=O)Nc1ccc(S(=O)(=O)Nc2ccc([N+](=O)[O-])cc2)cc1,0.7373
168,T78617,CC(=O)N[C@@H](CO)C(=O)O,0.7368
169,T41285,CCOC(=O)[C@H](CS)NC(C)=O,0.7363
170,TYD-02832,Nc1c(F)c(N)c(F)c(F)c1F,0.7363
171,TN1787,COc1ccc([C@@H]2COc3cc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)ccc3C2)c(O)c1OC,0.7358
172,TN7237,COc1cc2c(c(OC)c1)C(=O)OC2,0.7358
173,T207054,CNc1ccccc1,0.7349
174,T3428,O=Cc1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@@H](O)[C@H]2O)cc1,0.7344
