Rank,ID,SMILES,Score
99,T67448,Cc1ncc[nH]1,0.6816
100,T13019,O=C(CCC(=O)P(=O)([O][Na])[O][Na])[O][Na],0.6802
101,T38022,Oc1c(Br)cccc1Br,0.6797
102,T8520,c1nn[nH]n1,0.6792
103,T0221,O=C(O)C1CSCN1,0.6792
104,TD0092,Oc1cc(O)c2ccccc2c1,0.6792
105,T67498,Nc1nnc[nH]1,0.6787
106,T20926,Nc1c(Cl)cc([N+](=O)[O-])cc1Cl,0.6772
107,T4866,Cl.NC(=O)[C@@H](N)Cc1c[nH]c2ccccc12,0.6772
108,T1296,Nc1ccc(C(=O)O)c(O)c1,0.6772
109,T2O2680,O=C(O)C(=O)O,0.6768
110,T67689,O.O.O.O.O.O.O=[N+]([O-])c1ccc(OP(=O)([O-])[O-])cc1.[Na+].[Na+],0.6763
111,T0763,CC(O)CC(C)(C)O,0.6763
112,TCS1856,CC(=O)c1ccccc1O,0.6758
113,TN9258,COc1c(C)cc(C)cc1C,0.6753
114,T66905,O=C(O)CCS,0.6753
115,T1589,N[C@@H]1CONC1=O,0.6748
116,T0710,N[C@H]1CONC1=O,0.6748
117,T0495,Nc1nccs1,0.6748
118,T65486,Cc1cc(O)c(C)c(C)c1O,0.6743
119,T15694,C#CCC[C@H](N)C(=O)O,0.6743
120,TYD-02831,Cc1c(F)cc(N)cc1F,0.6743
121,T12270,CC(C)(C[C@H](N)C(=O)O)C(F)F,0.6738
122,T5954,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O.O,0.6733
123,T5088,O=C([O-])Cc1c[nH]c2ccccc12.[Na+],0.6729
124,T4107,Cc1ncc(CO)c(C(=O)O)c1O,0.6724
125,T67447,COc1ccccc1C,0.6724
126,TN7221,COc1cc(C=O)c(Br)cc1O,0.6724
127,T5291,O=C(O)CC(=O)O,0.6719
128,T5955,Cc1cccc2sc3nncn3c12,0.6719
129,T0238,CC(=O)Oc1c(C)cccc1C(=O)O,0.6719
130,TN1592,NC(Cc1ccccc1)C(=O)O,0.6719
131,T3018,O=Cc1ccc(O)c(O)c1,0.6719
132,T6308,O=[N+]([O-])c1ccc2c(c1)S(=O)(=O)C=C2,0.6714
133,TN9766,CC1Cc2ccccc2N1,0.6709
134,T4810,O=C(O)c1cccc(O)c1O,0.6709
135,T21115,O=C(O)[C@H]1CSCN1,0.6709
136,TN9443,O.O.O.O=C([O-])CCC(=O)[O-].[K+].[K+],0.6709
137,T8072,CSC[C@H](N)C(=O)O,0.6704
138,T0961,NC(CO)(CO)CO,0.6699
139,T20087,O=C([O-])O.[Na+],0.6694
140,T38241,Nc1ncc[nH]1,0.6694
141,T5518,CC(=O)N[C@@H](CS)C(N)=O,0.6694
142,T0335,O=C([O-])c1ccccc1O.[Na+],0.6689
143,T13485,NC(C(=O)O)c1ccccc1,0.6689
144,T35372,CC(=O)[O-].CC(=O)[O-].[Zn+2],0.6689
145,T1423,Cc1cccc(C(=O)O)c1O,0.6689
146,T19856,S=c1[nH]c2ccccc2s1,0.6685
147,T16801,NC(C(=O)O)c1nn[nH]n1,0.6680
148,T73900,C=CCS(=O)C[C@H](N)C(=O)O,0.6670
149,TCS1372,COC(=O)c1c(C)cc(O)c(C)c1O,0.6660
150,T19214,NC(=O)c1nc[nH]c1O,0.6650
151,T3747,COc1cc(C=O)cc(OC)c1O,0.6650
152,T80673,O=C1C(Cl)=C(Cl)C(=O)C(Cl)=C1Cl,0.6641
153,T83984,NC1(C(=O)O)CCC(F)(F)CC1,0.6641
154,T0775,O=c1ccc2ccccc2o1,0.6636
155,T0557,CNc1cccc(C)c1,0.6631
156,T3003,NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O,0.6631
157,T37190,C=CC[C@H](N)C(=O)O,0.6626
158,TN9637,Cc1coc2ccccc12,0.6626
159,TN9454,COc1cccc(C)c1O,0.6626
160,T206012,Cc1ccc(C)c([N+](=O)[O-])c1,0.6621
161,TCS2170,CC(=O)c1cc(O)ccc1O,0.6616
162,T22542,NC1(C(=O)O)CCC1,0.6611
163,T7438,COc1cc(O)cc(OC)c1,0.6611
164,T19284,CC(C)(C(=O)O)C(=O)O,0.6611
165,TYD-02845,Nc1c(Cl)ccc2c1CCO2,0.6606
166,TJO2742,CSCCC(N)C(=O)O,0.6606
167,TN11235,COc1cc(C)c(OC)c2c1OCO2,0.6602
168,T7977,[O-][n+]1onc2ccccc21,0.6602
169,T8394,N[C@H](CO)C(=O)O,0.6602
170,T1369,Cn1nc(C(=O)O)c2ccccc21,0.6592
171,T0164,N[C@@H]1CCCC[C@H]1N.O=C1[O][Pt][O]C1=O,0.6592
172,T22458,Brc1ccc2c(c1)NCCC2,0.6582
173,TMID-0151,[2H]c1c(O)c([2H])c2c(C[C@H](N)C(=O)O)c[nH]c2c1[2H],0.6582
174,T3748,Cc1cc(O)cc(O)c1,0.6577
175,T6543,Cn1cc(C[C@@H](N)C(=O)O)c2ccccc21,0.6577
176,T4292,O=C(O)[C@@H]1CSCN1,0.6577
177,T38476,Cc1oc(C)c(S(N)(=O)=O)c1C(=O)O,0.6572
178,T19916,FC(F)(F)c1ccccc1-n1ccnc1,0.6567
179,T78509,Cc1ncc(CO)c(C=O)c1O,0.6567
180,T0660,O=C1CCc2ccccc2C1,0.6562
181,T5244,NC(C(=O)O)C(=O)O,0.6558
182,T18885,O=C(O)c1cc(Cl)c(C(=O)O)c(C(=O)O)c1Cl,0.6558
183,T19380,COc1c(O)cc(O)cc1O,0.6553
184,T0646,Nc1ccc(O)c(C(=O)O)c1,0.6553
185,TN9522,Cc1ccc2ccccc2c1O,0.6543
186,T8637,COc1cc(C=O)c([N+](=O)[O-])cc1OC,0.6538
