Rank,ID,SMILES,Score
101,T7956,CC1(C)C(=O)[C@@]2(C)CC[C@@H]1C2,0.7256
102,T31766,CC12CCC(C1)C(C)(C)C2=O,0.7251
103,T5682,Oc1ccc2cc[nH]c2c1,0.7241
104,T7614,C#Cc1c[nH]c(=O)[nH]c1=O,0.7241
105,T1380,ClCC1C(CCl)C2(Cl)C(Cl)=C(Cl)C1(Cl)C2(Cl)Cl,0.7231
106,TN9733,CCc1ccc(C)c(C)c1,0.7231
107,T20313,CC(C)N1C(=O)c2ccccc2C1=O,0.7217
108,T1650,O=c1[nH]c2cc(Cl)ccc2o1,0.7212
109,TN9354,Cc1ccc(C)c(O)c1C,0.7212
110,TD1004,Nc1ccc([N+](=O)[O-])cc1Cl,0.7207
111,T8628,Oc1c(I)cc(I)cc1I,0.7192
112,T8250,CC1=CC=CC(C)(C)CC1=O,0.7192
113,TN9369,Cc1ncsc1C,0.7192
114,TN9802,Cc1cc(C)c(N)c(C)c1,0.7188
115,T23396,Cc1[nH]c2ccc(Cl)cc2c1CCN(C)C,0.7188
116,T19916,FC(F)(F)c1ccccc1-n1ccnc1,0.7178
117,TN9522,Cc1ccc2ccccc2c1O,0.7163
118,T0800,O=C1c2cccc(O)c2C(=O)c2c(O)cccc21,0.7158
119,T0874,Cc1ncc([N+](=O)[O-])n1C,0.7158
120,T8613,CCn1c(N)cc(=O)[nH]c1=O,0.7153
121,T6780,NC(=O)c1ccccc1,0.7144
122,T2604,CCn1c(=O)[nH]c2ccccc21,0.7144
123,T0557,CNc1cccc(C)c1,0.7144
124,T2975,COc1cccc(C=O)c1OC,0.7139
125,T1598,CC(N)C12CC3CC(CC(C3)C1)C2.Cl,0.7139
126,TYD-00510,CC(=O)c1cccc2ccccc12,0.7139
127,TN9291,Cc1ccc(C)c(C#N)c1,0.7139
128,TN7166,Oc1c(Br)cc(Br)cc1Br,0.7134
129,TN9688,CC(C)c1cccc2ccccc12,0.7129
130,T67594,COc1cccc(C(C)=O)c1,0.7129
131,TN4991,CCCC[C@@H]1OC(=O)C2=C1CCC=C2,0.7129
132,TN9269,Cc1ncc2c(n1)CSC2,0.7129
133,T8115,Cc1coc2c1CCC(C)C2,0.7124
134,TN9352,NC1=CC(=O)CCC1,0.7124
135,T21278,COc1cccc(C)c1,0.7119
136,TN7032,COCc1c(CO)cnc(C)c1O,0.7119
137,TN9319,COc1ccc(C=O)c(OC)c1,0.7119
138,TN9634,CC1CC(=O)c2ccccc21,0.7114
139,Fr12290,COc1cc(=O)oc2ccccc12,0.7095
140,T1365,NC(=S)c1ccncc1,0.7090
141,T19719,COc1ccc(O)cc1C(C)(C)C,0.7090
142,TN9674,CCc1ccccc1C#N,0.7080
143,T1902,Cc1ccc(S(=O)(=O)/C=C/C#N)cc1,0.7075
144,T206012,Cc1ccc(C)c([N+](=O)[O-])c1,0.7075
145,T0614,COc1cc(N)c(Cl)cc1C(=O)O,0.7070
146,T19856,S=c1[nH]c2ccccc2s1,0.7065
147,TN9594,CNc1ccccc1C,0.7061
148,TN5088,COc1cccc(OC)c1O,0.7046
149,TN9728,Cc1ccc2oc(C)nc2c1,0.7046
150,T203856,C/C=C(/C)C(=O)OCC(C)C,0.7041
151,TN9258,COc1c(C)cc(C)cc1C,0.7041
152,TN7200,Clc1c[nH]c2ccccc12,0.7041
153,T20326,COc1ccccc1OC,0.7036
154,T19758,C[C@@H](N=C=S)c1ccccc1,0.7031
155,T0050,Cc1c(N)c(=O)n(-c2ccccc2)n1C,0.7031
156,T5874,COc1ccccc1C(=O)O,0.7026
157,T0418,C=CCNC(N)=S,0.7026
158,T78227,CSCC[C@H](N)C(N)=O.Cl,0.7021
