ID,SMILES,CID,MolecularFormula,MolecularWeight,XLogP,TPSA,Complexity,HBondDonorCount,HBondAcceptorCount,RotatableBondCount
T22788,COC(=O)c1c(C)[nH]c(C)c1C(=O)c1ccccc1Cc1ccccc1,3423,C22H21NO3,347.4,4.6,59.2,500,1,3,6
T14961,c1ccc2c(c1)ccc1c3ccccc3ccc21,9171,C18H12,228.3,5.7,0,264,0,0,0
TN4871,Cc1cc(O)ccc1O,7253,C7H8O2,124.14,1,40.5,92,2,2,0
T3454,CCNC(=O)c1[nH]nc(-c2cc(Cl)c(O)cc2O)c1-c1ccc(OC)cc1,4369536,C19H18ClN3O4,387.8,3.4,107,503,4,5,5
T9087,O.[2H]C([2H])([2H])N(CC(=O)O)C(=N)N,16213871,C4H11N3O3,152.17,,91.4,134,4,4,3
T9141,Cc1cnc(NC2CCOCC2)nc1-n1cnc(C(=O)N[C@H](CN)c2cc(F)cc(Cl)c2)c1,124122366,C22H25ClFN7O2,473.9,2.3,120,644,3,8,7
T9135,CC(C)c1cc2c(c(O)c1O)[C@]13CCCC(C)(C)[C@@H]1[C@H](OC3=O)[C@@H]2O,98050105,C20H26O5,346.4,3.4,87,572,3,5,1
TN6737,C[C@@H]1CC[C@@]2(OC1)O[C@H]1C[C@H]3[C@@H]4CCC5=CC(=O)CC[C@]5(C)[C@H]4CC(=O)[C@]3(C)[C@H]1[C@@H]2C,10836200,C27H38O4,426.6,4,52.6,861,0,4,0
TN6734,C[C@@H]1O[C@@H](Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,10167806,C27H30O16,610.5,-0.7,266,1020,10,16,6
TN6736,CC(C)CCC[C@@H](C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3,440560,C30H52O,428.7,9.4,20.2,716,1,1,5
TN6735,C=C1C(=O)O[C@H]2C[C@@H](C)[C@@H]3C=CC(=O)[C@@]3(C)[C@@H](OC(C)=O)[C@H]12,3080597,C17H20O5,304.34,2,69.7,604,0,5,2
T2068,CN1CCN(C(=O)C2C3CCC(O3)C2C(=O)O)CC1,3578572,C13H20N2O4,268.31,-3,70.1,392,1,5,2
T9137,O=C(Nc1ccc(O)c(NS(=O)(=O)c2ccc(F)cc2)c1)c1ccc(-c2ccccc2)cc1,138005721,C25H19FN2O4S,462.5,4.7,104,736,3,6,6
T6568,CC1(C)Cc2c(-c3ccccc3)c(-c3ccc(Cl)cc3)c(CC(=O)O)n2C1,133021,C23H22ClNO2,379.9,5.2,42.2,536,1,2,4
